Fordonstyp;FilSkapadDatum;Tillverkningsar;Marke;Kod;Modell;Nybilspris;BransleTyp;KodForJamforbarModell;Justering
Personbil;2016-11-14 00:00:00;2016;BMW;16BM217;730d;880000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM218;730d xDrive;914000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM219;730Ld;955000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM220;730Ld xDrive;989000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM221;740d xDrive;985000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM302;740e, miljöbil;965500;Laddhybrid;16BM223;-305000
Personbil;2016-11-14 00:00:00;2016;BMW;16BM222;740Ld xDrive;1060000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM304;740Le, miljöbil;1040500;Laddhybrid;16BM224;-305000
Personbil;2016-11-14 00:00:00;2016;BMW;16BM303;740Le xDrive, miljöbil;1074500;Laddhybrid;16BM224;-305000
Personbil;2016-11-14 00:00:00;2016;BMW;16BM223;750i xDrive;1068000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM224;750Li xDrive;1143000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM225;Active Hybrid 5 Sedan;592500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM306;i3 BEV, miljöbil;339900;El;16BM009;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM305;i3 BEV 94Ah, miljöbil;354900;El;16BM009;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM308;i3 REX, miljöbil;375900;Laddhybrid;16BM009;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM307;i3 REX 94Ah, miljöbil;390900;Laddhybrid;16BM009;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM309;i8, miljöbil;1369000;Laddhybrid;16BM309;-350000
Personbil;2016-11-14 00:00:00;2016;BMW;16BM226;M135i 5d LCI;385000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM227;M135i xDrive 5d LCI;425000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM310;M140i;387500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM311;M140i xDrive;427500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM229;M235i Cabriolet;464500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM230;M235i Coupé;418000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM231;M235i xDriveCabriolet;503000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM232;M235i xDriveCoupé;458000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM312;M240i Cabriolet;465500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM313;M240i Coupé;420500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM314;M240i xDrive Cabriolet;505500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM315;M240i xDrive Coupé;460500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM228;M2 Coupé;509000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM233;M3 Sedan LCI;691000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM234;M4 Cabriolet;800000;Bensin;;
