Fordonstyp;FilSkapadDatum;Tillverkningsar;Marke;Kod;Modell;Nybilspris;BransleTyp;KodForJamforbarModell;Justering
Personbil;2018-11-16 00:00:00;2018;Audi;18AU034;A3 Sportback 1.4 TFSI g-tron 110 hk Proline Sport, miljöbil;291400;Gas;18AU031;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU036;A3 Sportback 1.5 TFSI 150 hk Proline;266100;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU037;A3 Sportback 1.5 TFSI 150 hk Proline Sport;284000;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU038;A3 Sportback 1.6 TDI 116 hk Proline;267200;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU039;A3 Sportback 1.6 TDI 116 hk Proline Sport;285100;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU040;A3 Sportback 2.0 TDI 150 hk Proline;278300;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU041;A3 Sportback 2.0 TDI 150 hk Proline Sport;296200;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU042;A3 Sportback 2.0 TDI 150 hk quattro Proline;294800;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU043;A3 Sportback 2.0 TDI 150 hk quattro Proline Sport;312700;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU044;A3 Sportback 2.0 TDI 184 hk quattro S tronic Proline Sport;360000;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU045;A3 Sportback 2.0 TFSI 190 hk quattro S tronic Proline Sport;354300;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU232;A3 Sportback 30 TFSI 116 hk S line black;305100;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU233;A3 Sportback 35 TFSI 150 hk S line black;322200;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU046;A4 allroad 2.0 TDI 150 hk quattro Proline;390500;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU047;A4 allroad 2.0 TDI 190 hk quattro S tronic Proline Edition;394000;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU204;A4 allroad 2.0 TFSI 245 hk quattro S tronic Proline Edition;386500;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU048;A4 allroad 2.0 TFSI 252 hk quattro S tronic Proline Edition;386500;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU049;A4 allroad 3.0 TDI 218 hk quattro S tronic Proline;474300;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU050;A4 allroad 3.0 TDI 272 hk quattro tiptronic Proline;521400;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU051;A4 Avant 1.4 TFSI 150 hk S tronic Proline Edition;308100;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU052;A4 Avant 1.4 TFSI 150 hk S tronic Proline Edition Sport;323100;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU053;A4 Avant 2.0 TDI 150 hk Proline Edition;320000;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU054;A4 Avant 2.0 TDI 190 hk quattro S tronic Proline Edition Sport;369400;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU055;A4 Avant 2.0 TDI 190 hk S tronic Proline Edition;358300;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU056;A4 Avant 2.0 TDI 190 hk S tronic Proline Edition Sport;370300;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU057;A4 Avant 2.0 TFSI 190 hk S tronic Proline Edition;344000;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU058;A4 Avant 2.0 TFSI 190 hk S tronic Proline Edition Sport;360400;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU205;A4 Avant 2.0 TFSI 245 hk quattro S tronic Proline Edition Sport;448400;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU059;A4 Avant 2.0 TFSI 252 hk quattro Proline Sport;413700;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU061;A4 Avant 2.0 TFSI g-tron 170 hk S tronic Proline Edition, miljöbil;412100;Gas;18AU051;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU060;A4 Avant 2.0 TFSI g-tron 170 hk S tronic Proline Edition Sport, miljöbil;428600;Gas;18AU052;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU062;A4 Avant 3.0 TDI 218 hk quattro S tronic Proline Sport;462200;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU063;A4 Avant 3.0 TDI 272 hk quattro tiptronic Proline Sport;509300;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU064;A4 Sedan 1.4 TFSI 150 hk Proline;327700;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU065;A4 Sedan 2.0 TDI 150 hk Proline Edition;307000;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU066;A4 Sedan 2.0 TDI 190 hk quattro S tronic Proline Edition Sport;356400;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU067;A4 Sedan 2.0 TDI 190 hk S tronic Proline Edition;345300;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU068;A4 Sedan 2.0 TDI 190 hk S tronic Proline Edition Sport;357300;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU069;A4 Sedan 2.0 TFSI 190 hk S tronic Proline Edition;331000;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU070;A4 Sedan 2.0 TFSI 190 hk S tronic Proline Edition Sport;347400;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU206;A4 Sedan 2.0 TFSI 245 hk quattro S tronic Proline Edition Sport;435400;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU071;A4 Sedan 2.0 TFSI 252 hk quattro Proline Sport;400700;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU072;A4 Sedan 3.0 TDI 218 hk quattro S tronic Proline Sport;449200;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU073;A4 Sedan 3.0 TDI 272 hk quattro tiptronic Proline Sport;496300;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU074;A5 Cabriolet 2.0 TDI 190 hk quattro S tronic Proline Sport;511500;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU075;A5 Cabriolet 2.0 TDI 190 hk S tronic Proline Sport;493500;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU076;A5 Cabriolet 2.0 TFSI 190 hk Proline Sport;460500;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU077;A5 Cabriolet 2.0 TFSI 252 hk quattro S tronic Proline Sport;533500;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU078;A5 Cabriolet 3.0 TDI 286 hk quattro tiptronic Proline Sport;604500;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU079;A5 Coupé 2.0 TDI 190 hk quattro S tronic Proline Edition Sport;439500;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU080;A5 Coupé 2.0 TDI 190 hk S tronic Proline Edition Sport;421500;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU081;A5 Coupé 2.0 TFSI 190 hk S tronic Proline Edition Sport;410500;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU082;A5 Coupé 2.0 TFSI 252 hk quattro S tronic Proline Sport;471500;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU083;A5 Coupé 3.0 TDI 286 hk quattro tiptronic Proline Sport;542500;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU084;A5 Sportback 1.4 TFSI 150 hk S tronic Proline Edition Sport;355600;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU085;A5 Sportback 2.0 TDI 190 hk quattro Proline Edition;392500;Diesel;;
